bintang,ulasan,nilai
4,"Game nya bagus dan sudah mantap.... Kenapa saya ngk bisa"" ganti livery dan ketika mau load map harus terhenti di iklan, sesudah iklan ngk masuk"" ke gameplay lagi, dan pas mau main bareng temen ,kenapa ngk bisa masuk lod map selanjutnya,udh itu aja keluhan saya, untuk pengupdatean selanjutnya mohon di tingkatkan lagi, kurangin bug bug yg lain nya karna meresahkan banget, terimakasih maleo....",POSITIF
3,"Gameplay sudah menarik , untuk peningkatan visualnya juga sangat bagus. Namun saya menyarankan untuk mengupdate penumpang nya agar lebih bervariasi, juga tambahkan ad block iklan, karena iklannya benar-benar sangat mengganggu, atau jika ingin ada iklan tambahkan jika menggandakan uang , atau setiap masuk/keluar dari gameplay(ngalayap, narik, multiplayer)",NEGATIF
3,"Ini game udah sangat bagus, tapi saya punya harapan untuk bussid. Saya ingin grafiknya lebih detail, grafik kendaraan dan bangunan disekitarnya dan saya ingin kendaraan mod bisa dipakai untuk main bareng, jika harapan saya terlalu berat, maka saya sarankan untuk mengembangkan bussid khusus PC karena PC penyimpanannya sangat besar. O ya sama iklannya jangan terlalu banyak dan berlebihan agar tidak terjadi ngelack,ngebug,dan ngecrash.",NEGATIF
4,"Game sudah sangat bagus dan hebat tapi ada kekuranganya yaitu banyak iklan dan tidak bisa masuk jalan ekstrim tolong ya maleo di updated lagi agar bisa masuk ke jalan ekstrim dan di kurangi iklannya serta di updated kendaraan, bangunan, trafic dan pejalan kaki. Terima kasih maleo sudah membuat bangga indo karena telah membuat game bus yang sangat hebat dan keren😎👍",POSITIF
4,"Tolong di perbaiki masalah bug nya lagi terkadang pada saat lagi mode narik trus tiba tiba suara hilang sendiri, pas juga lagi menyetel musik nya',. Selebihnya dah bagus cuma diperbaiki masalah bug tersebut .yang kadang suara hilang begitu aja',..",POSITIF
3,"Sekedar masukan untuk developer. Coba untuk pemilihan rute map mode AKAP, bisa langsung di pilih rutenya tanpa harus kembali ke garasi/loby. Dan tambahkan juga terminal kota² yg ada di pulau jawa. Dan untuk mode mabar. Ini sering terjadi macet saat loading. Padahal koneksi jaringan dan hp mumpuni. Lalu untuk jalan TOL. Coba di buat berbeda dan sedikit agak panjang. Karna setiap keluar atau masuk ke kota berikutnya itu terlihat sama dari bentuk jalanannya. Masih banyak masukan sih sebenernya.",NEGATIF
3,"Game nya bgus bnget.tapi semenjak di masukkan iklan saya merasa sangat terganggu,karna saat kita main,saat loding map kita harus nonton iklan dulu baru bisa main lagi,di situ lah sya merasa sangat terganggu dari suka pada game ini akan berubah menjadi tidak suka gara² ada iklan,,jadi bagi admin bisa gak untuk di hilangkan iklan,iklan itu termasuk memaksa seseorang untuk harus mnonton nya,,permintaan saya tolong iklannya di hapus,",NEGATIF
1,"Hallo untuk game ini saya kasih bintang 1! Dikarenakan ada bug yang sangat-sangat mengangu yaitu ketika di garasi mau ganti kendaraan itu nanti kendaraannya hilang lalu pas nyoba main mode ngelayap GAK BISA! ada tulisan New teks dan ketika keluar dari game kendaraan masih dalam kondisi hilang,,,, tolong untuk bug ini agar segera di perbaiki",NEGATIF
4,"Game nya sudah terbilang bagus, tapi tolong diperbaiki untuk masalah stuck loading map setelah iklan, padahal penyimpanan masih banyak, dan perbaiki iklan bonus pendapatan setelah narik, karena sering terjadi bug iklan tidak mau jalan dan harus mengulang lagi dari awal narik.",POSITIF
5,"Gameplay sudah bagus. Akan lebih baik jika grafik lebih realistis serta rute diperbanyak sesuai jalur di dunia nyata (gang, perumahan, beberapa terminal per kabupaten, bandara + lalin udara, tilang di tempat tertentu, warga berjalan dan berinteraksi (tidak hanya penumpang), aktivitas di tempat tertentu (wisata/bangunan terkenal) dan sebagainya. Saya paham akan masukan ini dapat membuat ukuran game jadi bertambah, namun tak apa demi kemajuan game BUSSID. Terimakasih. ❤️❤️❤️",POSITIF
